input_id	dealiased_id	standard_id	short_id
dbgap:phs000218.v23.p8	dbgap:phs000218.v23.p8	dbgap:phs000218.v23.p8	17Erd7F9J
dbgap:phs001436.v1.p1	dbgap:phs001436.v1.p1	dbgap:phs001436.v1.p1	UVwAVvuW
dbgap:phs002517.v1.p1	dbgap:phs002517.v1.p1	dbgap:phs002517.v1.p1	HyH6i3JM
doi:10.1016/j.xgen.2023.100340	doi:10.1016/j.xgen.2023.100340	doi:10.1016/j.xgen.2023.100340	5VXMHJ7N
https://commonfund.nih.gov/kidsfirst/2021X01projects#FY21_Resnick	https://commonfund.nih.gov/kidsfirst/2021X01projects#FY21_Resnick	url:https://commonfund.nih.gov/kidsfirst/2021X01projects#FY21_Resnick	HIcmeg1x
https://www.chordomafoundation.org	https://www.chordomafoundation.org	url:https://www.chordomafoundation.org	OePr0Q2g
https://www.pathology.med.umich.edu/mctp/mi-oncoseq-study	https://www.pathology.med.umich.edu/mctp/mi-oncoseq-study	url:https://www.pathology.med.umich.edu/mctp/mi-oncoseq-study	ygVj7a6q
dbgap:phs000424.v9.p2	dbgap:phs000424.v9.p2	dbgap:phs000424.v9.p2	sh2asT80
https://www.cancer.gov/tcga	https://www.cancer.gov/tcga	url:https://www.cancer.gov/tcga	VcHKLBtL
https://doi.org/10.1093/bioinformatics/btq635	https://doi.org/10.1093/bioinformatics/btq635	url:https://doi.org/10.1093/bioinformatics/btq635	lxeJKtdW
https://doi.org/10.1093/bioinformatics/btr670	https://doi.org/10.1093/bioinformatics/btr670	url:https://doi.org/10.1093/bioinformatics/btr670	SkCgiJ0s
doi	doi	doi	FSDqKxd0
https://doi.org/10.1186/gb-2011-12-4-r41	https://doi.org/10.1186/gb-2011-12-4-r41	url:https://doi.org/10.1186/gb-2011-12-4-r41	Z38xUgBW
doi:10.1093/bioinformatics/btw691	doi:10.1093/bioinformatics/btw691	doi:10.1093/bioinformatics/btw691	dxeON3tz
doi:10.1038/bjc.2013.496	doi:10.1038/bjc.2013.496	doi:10.1038/bjc.2013.496	15Yz3j9AA
doi:10.1186/s12864-015-2202-0	doi:10.1186/s12864-015-2202-0	doi:10.1186/s12864-015-2202-0	HOfcb651
doi:10.1038/nature26000	doi:10.1038/nature26000	doi:10.1038/nature26000	19a3Xf4h3
doi:10.1093/neuonc/noz235	doi:10.1093/neuonc/noz235	doi:10.1093/neuonc/noz235	5NHLHVO3
doi10.1038/nature26000	doi10.1038/nature26000	doi10.1038/nature26000	CV8ywrDC
